R,G,B,Class
0.196078431373,0.253731343284,0.262745098039,4.0
0.196078431373,0.253731343284,0.262745098039,4.0
0.186274509804,0.257575757576,0.258823529412,4.0
0.206896551724,0.353658536585,0.321568627451,4.0
0.214285714286,0.341463414634,0.321568627451,4.0
0.194444444444,0.315789473684,0.298039215686,4.0
0.174603174603,0.291666666667,0.282352941176,4.0
0.174603174603,0.3,0.274509803922,4.0
0.18253968254,0.3,0.274509803922,4.0
0.191666666667,0.285714285714,0.274509803922,4.0
0.19298245614,0.275362318841,0.270588235294,4.0
0.196078431373,0.253731343284,0.262745098039,4.0
0.208333333333,0.242424242424,0.258823529412,4.0
0.183333333333,0.352941176471,0.333333333333,4.0
0.172413793103,0.349397590361,0.325490196078,4.0
0.172839506173,0.3375,0.313725490196,4.0
0.179487179487,0.329113924051,0.309803921569,4.0
0.203703703704,0.3375,0.313725490196,4.0
0.211538461538,0.325,0.313725490196,4.0
0.206666666667,0.316455696203,0.309803921569,4.0
0.181818181818,0.293333333333,0.294117647059,4.0
0.174242424242,0.297297297297,0.290196078431,4.0
0.194444444444,0.32,0.294117647059,4.0
0.194444444444,0.324324324324,0.290196078431,4.0
0.195652173913,0.315068493151,0.286274509804,4.0
0.19298245614,0.271428571429,0.274509803922,4.0
0.203703703704,0.264705882353,0.266666666667,4.0
0.208333333333,0.246153846154,0.254901960784,4.0
0.148148148148,0.260869565217,0.270588235294,4.0
0.195652173913,0.306666666667,0.294117647059,4.0
0.206896551724,0.358024691358,0.317647058824,4.0
0.204301075269,0.369047619048,0.329411764706,4.0
0.205555555556,0.352941176471,0.333333333333,4.0
0.201149425287,0.341176470588,0.333333333333,4.0
0.178571428571,0.341463414634,0.321568627451,4.0
0.16049382716,0.3375,0.313725490196,4.0
0.16,0.324675324675,0.301960784314,4.0
0.173913043478,0.306666666667,0.294117647059,4.0
0.202898550725,0.302631578947,0.298039215686,4.0
0.202898550725,0.298701298701,0.301960784314,4.0
0.195652173913,0.298701298701,0.301960784314,4.0
0.18115942029,0.302631578947,0.298039215686,4.0
0.18,0.324675324675,0.301960784314,4.0
0.201149425287,0.3625,0.313725490196,4.0
0.203703703704,0.346153846154,0.305882352941,4.0
0.188405797101,0.310810810811,0.290196078431,4.0
0.190476190476,0.295774647887,0.278431372549,4.0
0.203703703704,0.264705882353,0.266666666667,4.0
0.21875,0.246153846154,0.254901960784,4.0
0.185185185185,0.264705882353,0.266666666667,4.0
0.185185185185,0.264705882353,0.266666666667,4.0
0.177083333333,0.242424242424,0.258823529412,4.0
0.156862745098,0.257575757576,0.258823529412,4.0
0.12962962963,0.268656716418,0.262745098039,4.0
0.156862745098,0.253731343284,0.262745098039,4.0
0.175925925926,0.260869565217,0.270588235294,4.0
0.2,0.328947368421,0.298039215686,4.0
0.212643678161,0.358024691358,0.317647058824,4.0
0.206896551724,0.353658536585,0.321568627451,4.0
0.206896551724,0.349397590361,0.325490196078,4.0
0.214285714286,0.333333333333,0.329411764706,4.0
0.185897435897,0.325,0.313725490196,4.0
0.16,0.324675324675,0.301960784314,4.0
0.152777777778,0.324324324324,0.290196078431,4.0
0.166666666667,0.281690140845,0.278431372549,4.0
0.198412698413,0.287671232877,0.286274509804,4.0
0.2,0.27027027027,0.290196078431,4.0
0.191666666667,0.266666666667,0.294117647059,4.0
0.174603174603,0.28,0.294117647059,4.0
0.180555555556,0.311688311688,0.301960784314,4.0
0.208333333333,0.35,0.313725490196,4.0
0.203703703704,0.346153846154,0.305882352941,4.0
0.201388888889,0.32,0.294117647059,4.0
0.198412698413,0.295774647887,0.278431372549,4.0
0.177083333333,0.242424242424,0.258823529412,4.0
0.166666666667,0.196721311475,0.239215686275,4.0
0.166666666667,0.209677419355,0.243137254902,4.0
0.21875,0.246153846154,0.254901960784,4.0
0.219298245614,0.279411764706,0.266666666667,4.0
0.230158730159,0.295774647887,0.278431372549,4.0
0.214285714286,0.295774647887,0.278431372549,4.0
0.19298245614,0.275362318841,0.270588235294,4.0
0.19298245614,0.275362318841,0.270588235294,4.0
0.175925925926,0.264705882353,0.266666666667,4.0
0.156862745098,0.253731343284,0.262745098039,4.0
0.147058823529,0.253731343284,0.262745098039,4.0
0.147058823529,0.253731343284,0.262745098039,4.0
0.148148148148,0.264705882353,0.266666666667,4.0
0.157407407407,0.264705882353,0.266666666667,4.0
0.189393939394,0.301369863014,0.286274509804,4.0
0.198717948718,0.337662337662,0.301960784314,4.0
0.192307692308,0.329113924051,0.309803921569,4.0
0.198717948718,0.325,0.313725490196,4.0
0.206666666667,0.308641975309,0.317647058824,4.0
0.166666666667,0.302631578947,0.298039215686,4.0
0.145833333333,0.32,0.294117647059,4.0
0.152173913043,0.319444444444,0.282352941176,4.0
0.158333333333,0.285714285714,0.274509803922,4.0
0.186274509804,0.246376811594,0.270588235294,4.0
0.194444444444,0.25,0.282352941176,4.0
0.194444444444,0.243243243243,0.290196078431,4.0
0.175438596491,0.256756756757,0.290196078431,4.0
0.174603174603,0.28,0.294117647059,4.0
0.201388888889,0.311688311688,0.301960784314,4.0
0.213333333333,0.324675324675,0.301960784314,4.0
0.215277777778,0.32,0.294117647059,4.0
0.191666666667,0.285714285714,0.274509803922,4.0
0.145833333333,0.246153846154,0.254901960784,4.0
0.1,0.234375,0.250980392157,4.0
0.125,0.246153846154,0.254901960784,4.0
0.166666666667,0.178571428571,0.219607843137,4.0
0.1875,0.142857142857,0.219607843137,4.0
0.190476190476,0.125,0.219607843137,4.0
0.194444444444,0.109090909091,0.21568627451,4.0
0.203703703704,0.155172413793,0.227450980392,4.0
0.217948717949,0.209677419355,0.243137254902,4.0
0.21875,0.246153846154,0.254901960784,4.0
0.219298245614,0.279411764706,0.266666666667,4.0
0.230158730159,0.295774647887,0.278431372549,4.0
0.214285714286,0.295774647887,0.278431372549,4.0
0.2,0.285714285714,0.274509803922,4.0
0.184210526316,0.275362318841,0.270588235294,4.0
0.175438596491,0.275362318841,0.270588235294,4.0
0.157407407407,0.264705882353,0.266666666667,4.0
0.148148148148,0.264705882353,0.266666666667,4.0
0.148148148148,0.264705882353,0.266666666667,4.0
0.148148148148,0.264705882353,0.266666666667,4.0
0.148148148148,0.264705882353,0.266666666667,4.0
0.175,0.281690140845,0.278431372549,4.0
0.18115942029,0.310810810811,0.290196078431,4.0
0.185897435897,0.333333333333,0.305882352941,4.0
0.193333333333,0.316455696203,0.309803921569,4.0
0.206666666667,0.3125,0.313725490196,4.0
0.166666666667,0.283783783784,0.290196078431,4.0
0.143939393939,0.301369863014,0.286274509804,4.0
0.142857142857,0.3,0.274509803922,4.0
0.157407407407,0.264705882353,0.266666666667,4.0
0.196078431373,0.246376811594,0.270588235294,4.0
0.203703703704,0.25,0.282352941176,4.0
0.203703703704,0.243243243243,0.290196078431,4.0
